Phrase,Sentiment,Tokens,Lemmatized_Tokens,Lemmatized_Phrase,Stemmed_Tokens,Stemmed_Phrase
the biggest complaint i have is the battery drains superfast,0,"['biggest', 'complaint', 'battery', 'drains', 'superfast']","['biggest', 'complaint', 'battery', 'drain', 'superfast']",the biggest complaint i have is the battery drain superfast,"['biggest', 'complaint', 'batteri', 'drain', 'superfast']",the biggest complaint i have is the batteri drain superfast
the design might be ergonomic in theory but i could not stand having these in my ear,0,"['design', 'might', 'ergonomic', 'theory', 'could', 'stand', 'ear']","['design', 'might', 'ergonomic', 'theory', 'could', 'stand', 'ear']",the design might be ergonomic in theory but i could not stand having these in my ear,"['design', 'might', 'ergonom', 'theori', 'could', 'stand', 'ear']",the design might be ergonom in theori but i could not stand have these in my ear
do not buy if you want to use the holster,0,"['buy', 'want', 'use', 'holster']","['buy', 'want', 'use', 'holster']",do not buy if you want to use the holster,"['buy', 'want', 'use', 'holster']",do not buy if you want to use the holster
the phone can also take great pictures and even video clips,1,"['phone', 'also', 'take', 'great', 'pictures', 'even', 'video', 'clips']","['phone', 'also', 'take', 'great', 'picture', 'even', 'video', 'clip']",the phone can also take great picture and even video clip,"['phone', 'also', 'take', 'great', 'pictur', 'even', 'video', 'clip']",the phone can also take great pictur and even video clip
it doesnt make you look cool,0,"['doesnt', 'make', 'look', 'cool']","['doesnt', 'make', 'look', 'cool']",it doesnt make you look cool,"['doesnt', 'make', 'look', 'cool']",it doesnt make you look cool
because both ears are occupied background is not distracting at all,1,"['ears', 'occupied', 'background', 'distracting']","['ear', 'occupied', 'background', 'distracting']",because both ear are occupied background is not distracting at all,"['ear', 'occupi', 'background', 'distract']",becaus both ear are occupi background is not distract at all
comfortable fit  you need your headset to be comfortable for at least an hour at a time if not for an entire day,1,"['comfortable', 'fit', 'need', 'headset', 'comfortable', 'least', 'hour', 'time', 'entire', 'day']","['comfortable', 'fit', 'need', 'headset', 'comfortable', 'least', 'hour', 'time', 'entire', 'day']",comfortable fit you need your headset to be comfortable for at least an hour at a time if not for an entire day,"['comfort', 'fit', 'need', 'headset', 'comfort', 'least', 'hour', 'time', 'entir', 'day']",comfort fit you need your headset to be comfort for at least an hour at a time if not for an entir day
also the phone doesnt seem to accept anything except cbr mps preferably ripped by windows media player,0,"['also', 'phone', 'doesnt', 'seem', 'accept', 'anything', 'except', 'cbr', 'mps', 'preferably', 'ripped', 'windows', 'media', 'player']","['also', 'phone', 'doesnt', 'seem', 'accept', 'anything', 'except', 'cbr', 'mp', 'preferably', 'ripped', 'window', 'medium', 'player']",also the phone doesnt seem to accept anything except cbr mp preferably ripped by window medium player,"['also', 'phone', 'doesnt', 'seem', 'accept', 'anyth', 'except', 'cbr', 'mp', 'prefer', 'rip', 'window', 'media', 'player']",also the phone doesnt seem to accept anyth except cbr mp prefer rip by window media player
you cant beat the price on these,1,"['cant', 'beat', 'price']","['cant', 'beat', 'price']",you cant beat the price on these,"['cant', 'beat', 'price']",you cant beat the price on these
 comes with a strong light that you can use to light up your camera shots and even flash sos signals seriously,1,"['comes', 'strong', 'light', 'use', 'light', 'camera', 'shots', 'even', 'flash', 'sos', 'signals', 'seriously']","['come', 'strong', 'light', 'use', 'light', 'camera', 'shot', 'even', 'flash', 'so', 'signal', 'seriously']",come with a strong light that you can use to light up your camera shot and even flash so signal seriously,"['come', 'strong', 'light', 'use', 'light', 'camera', 'shot', 'even', 'flash', 'so', 'signal', 'serious']",come with a strong light that you can use to light up your camera shot and even flash so signal serious
lightweight and works well,1,"['lightweight', 'works', 'well']","['lightweight', 'work', 'well']",lightweight and work well,"['lightweight', 'work', 'well']",lightweight and work well
so just beware,0,['beware'],['beware'],so just beware,['bewar'],so just bewar
i love this cable  it allows me to connect any miniusb device to my pc,1,"['love', 'cable', 'allows', 'connect', 'miniusb', 'device', 'pc']","['love', 'cable', 'allows', 'connect', 'miniusb', 'device', 'pc']",i love this cable it allows me to connect any miniusb device to my pc,"['love', 'cabl', 'allow', 'connect', 'miniusb', 'devic', 'pc']",i love thi cabl it allow me to connect ani miniusb devic to my pc
so anyone near you will hear part of your conversation,0,"['anyone', 'near', 'hear', 'part', 'conversation']","['anyone', 'near', 'hear', 'part', 'conversation']",so anyone near you will hear part of your conversation,"['anyon', 'near', 'hear', 'part', 'convers']",so anyon near you will hear part of your convers
this is cool because most cases are just open there allowing the screen to get all scratched up,1,"['cool', 'cases', 'open', 'allowing', 'screen', 'get', 'scratched']","['cool', 'case', 'open', 'allowing', 'screen', 'get', 'scratched']",this is cool because most case are just open there allowing the screen to get all scratched up,"['cool', 'case', 'open', 'allow', 'screen', 'get', 'scratch']",thi is cool becaus most case are just open there allow the screen to get all scratch up
i bought this phone as a replacement for my startac and have regretted it since,0,"['bought', 'phone', 'replacement', 'startac', 'regretted', 'since']","['bought', 'phone', 'replacement', 'startac', 'regretted', 'since']",i bought this phone a a replacement for my startac and have regretted it since,"['bought', 'phone', 'replac', 'startac', 'regret', 'sinc']",i bought thi phone as a replac for my startac and have regret it sinc
appears to actually outperform the original battery from china that came with my vi,1,"['appears', 'actually', 'outperform', 'original', 'battery', 'china', 'came', 'vi']","['appears', 'actually', 'outperform', 'original', 'battery', 'china', 'came', 'vi']",appears to actually outperform the original battery from china that came with my vi,"['appear', 'actual', 'outperform', 'origin', 'batteri', 'china', 'came', 'vi']",appear to actual outperform the origin batteri from china that came with my vi
cant store anything but phone numbers to sim,0,"['cant', 'store', 'anything', 'phone', 'numbers', 'sim']","['cant', 'store', 'anything', 'phone', 'number', 'sim']",cant store anything but phone number to sim,"['cant', 'store', 'anyth', 'phone', 'number', 'sim']",cant store anyth but phone number to sim
it lasts less than o minutes if i actually try to use the phonemy wife has the same phone with the same problem,0,"['lasts', 'less', 'minutes', 'actually', 'try', 'use', 'phonemy', 'wife', 'phone', 'problem']","['last', 'le', 'minute', 'actually', 'try', 'use', 'phonemy', 'wife', 'phone', 'problem']",it last le than o minute if i actually try to use the phonemy wife ha the same phone with the same problem,"['last', 'less', 'minut', 'actual', 'tri', 'use', 'phonemi', 'wife', 'phone', 'problem']",it last less than o minut if i actual tri to use the phonemi wife ha the same phone with the same problem
poor quality,0,"['poor', 'quality']","['poor', 'quality']",poor quality,"['poor', 'qualiti']",poor qualiti
jabra ear gels r the best,1,"['jabra', 'ear', 'gels', 'r', 'best']","['jabra', 'ear', 'gel', 'r', 'best']",jabra ear gel r the best,"['jabra', 'ear', 'gel', 'r', 'best']",jabra ear gel r the best
not worth it,0,['worth'],['worth'],not worth it,['worth'],not worth it
the phone crashed completely and now i have to get it replaced,0,"['phone', 'crashed', 'completely', 'get', 'replaced']","['phone', 'crashed', 'completely', 'get', 'replaced']",the phone crashed completely and now i have to get it replaced,"['phone', 'crash', 'complet', 'get', 'replac']",the phone crash complet and now i have to get it replac
it quit working after id used it for about  months so i just purchased another one because this is the best headset ive ever owned,1,"['quit', 'working', 'id', 'used', 'months', 'purchased', 'another', 'one', 'best', 'headset', 'ive', 'ever', 'owned']","['quit', 'working', 'id', 'used', 'month', 'purchased', 'another', 'one', 'best', 'headset', 'ive', 'ever', 'owned']",it quit working after id used it for about month so i just purchased another one because this is the best headset ive ever owned,"['quit', 'work', 'id', 'use', 'month', 'purchas', 'anoth', 'one', 'best', 'headset', 'ive', 'ever', 'own']",it quit work after id use it for about month so i just purchas anoth one becaus thi is the best headset ive ever own
unfortunately it will not recharge my iphone s despite connecting it from multiple power sources imac external battery wall outlet etc,0,"['unfortunately', 'recharge', 'iphone', 'despite', 'connecting', 'multiple', 'power', 'sources', 'imac', 'external', 'battery', 'wall', 'outlet', 'etc']","['unfortunately', 'recharge', 'iphone', 'despite', 'connecting', 'multiple', 'power', 'source', 'imac', 'external', 'battery', 'wall', 'outlet', 'etc']",unfortunately it will not recharge my iphone s despite connecting it from multiple power source imac external battery wall outlet etc,"['unfortun', 'recharg', 'iphon', 'despit', 'connect', 'multipl', 'power', 'sourc', 'imac', 'extern', 'batteri', 'wall', 'outlet', 'etc']",unfortun it will not recharg my iphon s despit connect it from multipl power sourc imac extern batteri wall outlet etc
it was a great phone,1,"['great', 'phone']","['great', 'phone']",it wa a great phone,"['great', 'phone']",it wa a great phone
if you simply want a small flip phone  look elsewhere as the extra bells  whistles are mediocre,0,"['simply', 'want', 'small', 'flip', 'phone', 'look', 'elsewhere', 'extra', 'bells', 'whistles', 'mediocre']","['simply', 'want', 'small', 'flip', 'phone', 'look', 'elsewhere', 'extra', 'bell', 'whistle', 'mediocre']",if you simply want a small flip phone look elsewhere a the extra bell whistle are mediocre,"['simpli', 'want', 'small', 'flip', 'phone', 'look', 'elsewher', 'extra', 'bell', 'whistl', 'mediocr']",if you simpli want a small flip phone look elsewher as the extra bell whistl are mediocr
good value works fine  power via usb car or wall outlet,1,"['good', 'value', 'works', 'fine', 'power', 'via', 'usb', 'car', 'wall', 'outlet']","['good', 'value', 'work', 'fine', 'power', 'via', 'usb', 'car', 'wall', 'outlet']",good value work fine power via usb car or wall outlet,"['good', 'valu', 'work', 'fine', 'power', 'via', 'usb', 'car', 'wall', 'outlet']",good valu work fine power via usb car or wall outlet
my phone doesnt slide around my car now and the grip prevents my phone from slipping out of my hand,1,"['phone', 'doesnt', 'slide', 'around', 'car', 'grip', 'prevents', 'phone', 'slipping', 'hand']","['phone', 'doesnt', 'slide', 'around', 'car', 'grip', 'prevents', 'phone', 'slipping', 'hand']",my phone doesnt slide around my car now and the grip prevents my phone from slipping out of my hand,"['phone', 'doesnt', 'slide', 'around', 'car', 'grip', 'prevent', 'phone', 'slip', 'hand']",my phone doesnt slide around my car now and the grip prevent my phone from slip out of my hand
this is simply the best bluetooth headset for sound quality,1,"['simply', 'best', 'bluetooth', 'headset', 'sound', 'quality']","['simply', 'best', 'bluetooth', 'headset', 'sound', 'quality']",this is simply the best bluetooth headset for sound quality,"['simpli', 'best', 'bluetooth', 'headset', 'sound', 'qualiti']",thi is simpli the best bluetooth headset for sound qualiti
think it over when you plan to own this onethis sure is the last moto phone for me,0,"['think', 'plan', 'onethis', 'sure', 'last', 'moto', 'phone']","['think', 'plan', 'onethis', 'sure', 'last', 'moto', 'phone']",think it over when you plan to own this onethis sure is the last moto phone for me,"['think', 'plan', 'onethi', 'sure', 'last', 'moto', 'phone']",think it over when you plan to own thi onethi sure is the last moto phone for me
in the span of an hour i had two people exclaim whoa  is that the new phone on tv,1,"['span', 'hour', 'two', 'people', 'exclaim', 'whoa', 'new', 'phone', 'tv']","['span', 'hour', 'two', 'people', 'exclaim', 'whoa', 'new', 'phone', 'tv']",in the span of an hour i had two people exclaim whoa is that the new phone on tv,"['span', 'hour', 'two', 'peopl', 'exclaim', 'whoa', 'new', 'phone', 'tv']",in the span of an hour i had two peopl exclaim whoa is that the new phone on tv
i have always used corded headsets and the freedom from the wireless is very helpful,1,"['always', 'used', 'corded', 'headsets', 'freedom', 'wireless', 'helpful']","['always', 'used', 'corded', 'headset', 'freedom', 'wireless', 'helpful']",i have always used corded headset and the freedom from the wireless is very helpful,"['alway', 'use', 'cord', 'headset', 'freedom', 'wireless', 'help']",i have alway use cord headset and the freedom from the wireless is veri help
this case has passed the one year mark and while it shows signs of wear it is  functional,1,"['case', 'passed', 'one', 'year', 'mark', 'shows', 'signs', 'wear', 'functional']","['case', 'passed', 'one', 'year', 'mark', 'show', 'sign', 'wear', 'functional']",this case ha passed the one year mark and while it show sign of wear it is functional,"['case', 'pass', 'one', 'year', 'mark', 'show', 'sign', 'wear', 'function']",thi case ha pass the one year mark and while it show sign of wear it is function
other than that the leather is nice and soft the fit is very tight the cut out for the face is a good shape,1,"['leather', 'nice', 'soft', 'fit', 'tight', 'cut', 'face', 'good', 'shape']","['leather', 'nice', 'soft', 'fit', 'tight', 'cut', 'face', 'good', 'shape']",other than that the leather is nice and soft the fit is very tight the cut out for the face is a good shape,"['leather', 'nice', 'soft', 'fit', 'tight', 'cut', 'face', 'good', 'shape']",other than that the leather is nice and soft the fit is veri tight the cut out for the face is a good shape
it has everything i need and i couldnt ask for more,1,"['everything', 'need', 'couldnt', 'ask']","['everything', 'need', 'couldnt', 'ask']",it ha everything i need and i couldnt ask for more,"['everyth', 'need', 'couldnt', 'ask']",it ha everyth i need and i couldnt ask for more
after receiving and using the product for just  days it broke,0,"['receiving', 'using', 'product', 'days', 'broke']","['receiving', 'using', 'product', 'day', 'broke']",after receiving and using the product for just day it broke,"['receiv', 'use', 'product', 'day', 'broke']",after receiv and use the product for just day it broke
this product is great it makes working a lot easier i can go to the copier while waiting on hold for something,1,"['product', 'great', 'makes', 'working', 'lot', 'easier', 'go', 'copier', 'waiting', 'hold', 'something']","['product', 'great', 'make', 'working', 'lot', 'easier', 'go', 'copier', 'waiting', 'hold', 'something']",this product is great it make working a lot easier i can go to the copier while waiting on hold for something,"['product', 'great', 'make', 'work', 'lot', 'easier', 'go', 'copier', 'wait', 'hold', 'someth']",thi product is great it make work a lot easier i can go to the copier while wait on hold for someth
none of the three sizes they sent with the headset would stay in my ears,0,"['none', 'three', 'sizes', 'sent', 'headset', 'would', 'stay', 'ears']","['none', 'three', 'size', 'sent', 'headset', 'would', 'stay', 'ear']",none of the three size they sent with the headset would stay in my ear,"['none', 'three', 'size', 'sent', 'headset', 'would', 'stay', 'ear']",none of the three size they sent with the headset would stay in my ear
tmobile has the best customer service anywhere,1,"['tmobile', 'best', 'customer', 'service', 'anywhere']","['tmobile', 'best', 'customer', 'service', 'anywhere']",tmobile ha the best customer service anywhere,"['tmobil', 'best', 'custom', 'servic', 'anywher']",tmobil ha the best custom servic anywher
arrived quickly and much less expensive than others being sold,1,"['arrived', 'quickly', 'much', 'less', 'expensive', 'others', 'sold']","['arrived', 'quickly', 'much', 'le', 'expensive', 'others', 'sold']",arrived quickly and much le expensive than others being sold,"['arriv', 'quickli', 'much', 'less', 'expens', 'other', 'sold']",arriv quickli and much less expens than other be sold
we have tried  units and they both failed within  months pros,0,"['tried', 'units', 'failed', 'within', 'months', 'pros']","['tried', 'unit', 'failed', 'within', 'month', 'pro']",we have tried unit and they both failed within month pro,"['tri', 'unit', 'fail', 'within', 'month', 'pro']",we have tri unit and they both fail within month pro
provides good protection and looks classy too,1,"['provides', 'good', 'protection', 'looks', 'classy']","['provides', 'good', 'protection', 'look', 'classy']",provides good protection and look classy too,"['provid', 'good', 'protect', 'look', 'classi']",provid good protect and look classi too
krussel always good,1,"['krussel', 'always', 'good']","['krussel', 'always', 'good']",krussel always good,"['krussel', 'alway', 'good']",krussel alway good
the tracfonewebsite is user friendly and makes it easy toactivate etc,1,"['tracfonewebsite', 'user', 'friendly', 'makes', 'easy', 'toactivate', 'etc']","['tracfonewebsite', 'user', 'friendly', 'make', 'easy', 'toactivate', 'etc']",the tracfonewebsite is user friendly and make it easy toactivate etc,"['tracfonewebsit', 'user', 'friendli', 'make', 'easi', 'toactiv', 'etc']",the tracfonewebsit is user friendli and make it easi toactiv etc
the design is very good,1,"['design', 'good']","['design', 'good']",the design is very good,"['design', 'good']",the design is veri good
i great reception all the time,1,"['great', 'reception', 'time']","['great', 'reception', 'time']",i great reception all the time,"['great', 'recept', 'time']",i great recept all the time
i would highly recommend this product,1,"['would', 'highly', 'recommend', 'product']","['would', 'highly', 'recommend', 'product']",i would highly recommend this product,"['would', 'highli', 'recommend', 'product']",i would highli recommend thi product
couldnt use the unit with sunglasses not good in texas,0,"['couldnt', 'use', 'unit', 'sunglasses', 'good', 'texas']","['couldnt', 'use', 'unit', 'sunglass', 'good', 'texas']",couldnt use the unit with sunglass not good in texas,"['couldnt', 'use', 'unit', 'sunglass', 'good', 'texa']",couldnt use the unit with sunglass not good in texa
it dit not work most of the time with my nokia ,0,"['dit', 'work', 'time', 'nokia']","['dit', 'work', 'time', 'nokia']",it dit not work most of the time with my nokia,"['dit', 'work', 'time', 'nokia']",it dit not work most of the time with my nokia
bought mainly for the charger which broke soon after purchasing,0,"['bought', 'mainly', 'charger', 'broke', 'soon', 'purchasing']","['bought', 'mainly', 'charger', 'broke', 'soon', 'purchasing']",bought mainly for the charger which broke soon after purchasing,"['bought', 'mainli', 'charger', 'broke', 'soon', 'purchas']",bought mainli for the charger which broke soon after purchas
fantastic buy and will get again for whatever my next phone is,1,"['fantastic', 'buy', 'get', 'whatever', 'next', 'phone']","['fantastic', 'buy', 'get', 'whatever', 'next', 'phone']",fantastic buy and will get again for whatever my next phone is,"['fantast', 'buy', 'get', 'whatev', 'next', 'phone']",fantast buy and will get again for whatev my next phone is
stay away from this store be careful,0,"['stay', 'away', 'store', 'careful']","['stay', 'away', 'store', 'careful']",stay away from this store be careful,"['stay', 'away', 'store', 'care']",stay away from thi store be care
this blueant supertooth handsfree phone speaker is awesome,1,"['blueant', 'supertooth', 'handsfree', 'phone', 'speaker', 'awesome']","['blueant', 'supertooth', 'handsfree', 'phone', 'speaker', 'awesome']",this blueant supertooth handsfree phone speaker is awesome,"['blueant', 'supertooth', 'handsfre', 'phone', 'speaker', 'awesom']",thi blueant supertooth handsfre phone speaker is awesom
 item arrived quickly and works great with my metro pcs samsung schr slider phone and sony premium sound in ear plugs,1,"['item', 'arrived', 'quickly', 'works', 'great', 'metro', 'pcs', 'samsung', 'schr', 'slider', 'phone', 'sony', 'premium', 'sound', 'ear', 'plugs']","['item', 'arrived', 'quickly', 'work', 'great', 'metro', 'pc', 'samsung', 'schr', 'slider', 'phone', 'sony', 'premium', 'sound', 'ear', 'plug']",item arrived quickly and work great with my metro pc samsung schr slider phone and sony premium sound in ear plug,"['item', 'arriv', 'quickli', 'work', 'great', 'metro', 'pc', 'samsung', 'schr', 'slider', 'phone', 'soni', 'premium', 'sound', 'ear', 'plug']",item arriv quickli and work great with my metro pc samsung schr slider phone and soni premium sound in ear plug
it is light has plenty of battery capacity and is very confortable to wear for somewhat extended periods of time,1,"['light', 'plenty', 'battery', 'capacity', 'confortable', 'wear', 'somewhat', 'extended', 'periods', 'time']","['light', 'plenty', 'battery', 'capacity', 'confortable', 'wear', 'somewhat', 'extended', 'period', 'time']",it is light ha plenty of battery capacity and is very confortable to wear for somewhat extended period of time,"['light', 'plenti', 'batteri', 'capac', 'confort', 'wear', 'somewhat', 'extend', 'period', 'time']",it is light ha plenti of batteri capac and is veri confort to wear for somewhat extend period of time
disappointing,0,['disappointing'],['disappointing'],disappointing,['disappoint'],disappoint
blue ant is easy to use,1,"['blue', 'ant', 'easy', 'use']","['blue', 'ant', 'easy', 'use']",blue ant is easy to use,"['blue', 'ant', 'easi', 'use']",blue ant is easi to use
cheap but hey it works was pleasantly suprised given the low cost of this item,1,"['cheap', 'hey', 'works', 'pleasantly', 'suprised', 'given', 'low', 'cost', 'item']","['cheap', 'hey', 'work', 'pleasantly', 'suprised', 'given', 'low', 'cost', 'item']",cheap but hey it work wa pleasantly suprised given the low cost of this item,"['cheap', 'hey', 'work', 'pleasantli', 'supris', 'given', 'low', 'cost', 'item']",cheap but hey it work wa pleasantli supris given the low cost of thi item
the camera on the phone may be used as a dustpan when indoors id rather be using a disposable then this,0,"['camera', 'phone', 'may', 'used', 'dustpan', 'indoors', 'id', 'rather', 'using', 'disposable']","['camera', 'phone', 'may', 'used', 'dustpan', 'indoors', 'id', 'rather', 'using', 'disposable']",the camera on the phone may be used a a dustpan when indoors id rather be using a disposable then this,"['camera', 'phone', 'may', 'use', 'dustpan', 'indoor', 'id', 'rather', 'use', 'dispos']",the camera on the phone may be use as a dustpan when indoor id rather be use a dispos then thi
then a few days later the a puff of smoke came out of the phone while in use,0,"['days', 'later', 'puff', 'smoke', 'came', 'phone', 'use']","['day', 'later', 'puff', 'smoke', 'came', 'phone', 'use']",then a few day later the a puff of smoke came out of the phone while in use,"['day', 'later', 'puff', 'smoke', 'came', 'phone', 'use']",then a few day later the a puff of smoke came out of the phone while in use
its very convenient and simple to use  gets job done  makes the car ride so much smoother,1,"['convenient', 'simple', 'use', 'gets', 'job', 'done', 'makes', 'car', 'ride', 'much', 'smoother']","['convenient', 'simple', 'use', 'get', 'job', 'done', 'make', 'car', 'ride', 'much', 'smoother']",it very convenient and simple to use get job done make the car ride so much smoother,"['conveni', 'simpl', 'use', 'get', 'job', 'done', 'make', 'car', 'ride', 'much', 'smoother']",it veri conveni and simpl to use get job done make the car ride so much smoother
the nano stated itmy son was dissapointed,0,"['nano', 'stated', 'itmy', 'son', 'dissapointed']","['nano', 'stated', 'itmy', 'son', 'dissapointed']",the nano stated itmy son wa dissapointed,"['nano', 'state', 'itmi', 'son', 'dissapoint']",the nano state itmi son wa dissapoint
the sound quality is excellent as well,1,"['sound', 'quality', 'excellent', 'well']","['sound', 'quality', 'excellent', 'well']",the sound quality is excellent a well,"['sound', 'qualiti', 'excel', 'well']",the sound qualiti is excel as well
its the best headset i have used,1,"['best', 'headset', 'used']","['best', 'headset', 'used']",it the best headset i have used,"['best', 'headset', 'use']",it the best headset i have use
would not reccommend,0,"['would', 'reccommend']","['would', 'reccommend']",would not reccommend,"['would', 'reccommend']",would not reccommend
they have been around for years and carries the highest quality of antiglare screen protector that i have found to date,1,"['around', 'years', 'carries', 'highest', 'quality', 'antiglare', 'screen', 'protector', 'found', 'date']","['around', 'year', 'carry', 'highest', 'quality', 'antiglare', 'screen', 'protector', 'found', 'date']",they have been around for year and carry the highest quality of antiglare screen protector that i have found to date,"['around', 'year', 'carri', 'highest', 'qualiti', 'antiglar', 'screen', 'protector', 'found', 'date']",they have been around for year and carri the highest qualiti of antiglar screen protector that i have found to date
just what i wanted,1,['wanted'],['wanted'],just what i wanted,['want'],just what i want
this particular model would not work with my motorola q smartphone,0,"['particular', 'model', 'would', 'work', 'motorola', 'q', 'smartphone']","['particular', 'model', 'would', 'work', 'motorola', 'q', 'smartphone']",this particular model would not work with my motorola q smartphone,"['particular', 'model', 'would', 'work', 'motorola', 'q', 'smartphon']",thi particular model would not work with my motorola q smartphon
wont work right or atleast for me,0,"['wont', 'work', 'right', 'atleast']","['wont', 'work', 'right', 'atleast']",wont work right or atleast for me,"['wont', 'work', 'right', 'atleast']",wont work right or atleast for me
in addition it feels amp looks as if the phone is all lightweight cheap plastic,0,"['addition', 'feels', 'amp', 'looks', 'phone', 'lightweight', 'cheap', 'plastic']","['addition', 'feel', 'amp', 'look', 'phone', 'lightweight', 'cheap', 'plastic']",in addition it feel amp look a if the phone is all lightweight cheap plastic,"['addit', 'feel', 'amp', 'look', 'phone', 'lightweight', 'cheap', 'plastic']",in addit it feel amp look as if the phone is all lightweight cheap plastic
but now that it is out of warranty the same problems reoccurebottom line put your money somewhere else cingular will not support it,0,"['warranty', 'problems', 'reoccurebottom', 'line', 'put', 'money', 'somewhere', 'else', 'cingular', 'support']","['warranty', 'problem', 'reoccurebottom', 'line', 'put', 'money', 'somewhere', 'else', 'cingular', 'support']",but now that it is out of warranty the same problem reoccurebottom line put your money somewhere else cingular will not support it,"['warranti', 'problem', 'reoccurebottom', 'line', 'put', 'money', 'somewher', 'els', 'cingular', 'support']",but now that it is out of warranti the same problem reoccurebottom line put your money somewher els cingular will not support it
i really wanted the plantronics  to be the right one but it has too many issues for methe good,0,"['really', 'wanted', 'plantronics', 'right', 'one', 'many', 'issues', 'methe', 'good']","['really', 'wanted', 'plantronics', 'right', 'one', 'many', 'issue', 'methe', 'good']",i really wanted the plantronics to be the right one but it ha too many issue for methe good,"['realli', 'want', 'plantron', 'right', 'one', 'mani', 'issu', 'meth', 'good']",i realli want the plantron to be the right one but it ha too mani issu for meth good
great product,1,"['great', 'product']","['great', 'product']",great product,"['great', 'product']",great product
crisp and clear,1,"['crisp', 'clear']","['crisp', 'clear']",crisp and clear,"['crisp', 'clear']",crisp and clear
after the first charge kept going dead after  minutes,0,"['first', 'charge', 'kept', 'going', 'dead', 'minutes']","['first', 'charge', 'kept', 'going', 'dead', 'minute']",after the first charge kept going dead after minute,"['first', 'charg', 'kept', 'go', 'dead', 'minut']",after the first charg kept go dead after minut
very cheap plastic creaks like an old wooden floor,0,"['cheap', 'plastic', 'creaks', 'like', 'old', 'wooden', 'floor']","['cheap', 'plastic', 'creak', 'like', 'old', 'wooden', 'floor']",very cheap plastic creak like an old wooden floor,"['cheap', 'plastic', 'creak', 'like', 'old', 'wooden', 'floor']",veri cheap plastic creak like an old wooden floor
i get absolutely horrible reception in my apartment where with other phones i have not had this problem,0,"['get', 'absolutely', 'horrible', 'reception', 'apartment', 'phones', 'problem']","['get', 'absolutely', 'horrible', 'reception', 'apartment', 'phone', 'problem']",i get absolutely horrible reception in my apartment where with other phone i have not had this problem,"['get', 'absolut', 'horribl', 'recept', 'apart', 'phone', 'problem']",i get absolut horribl recept in my apart where with other phone i have not had thi problem
the reception has been generally good,1,"['reception', 'generally', 'good']","['reception', 'generally', 'good']",the reception ha been generally good,"['recept', 'gener', 'good']",the recept ha been gener good
excellent sound battery life and inconspicuous to boot,1,"['excellent', 'sound', 'battery', 'life', 'inconspicuous', 'boot']","['excellent', 'sound', 'battery', 'life', 'inconspicuous', 'boot']",excellent sound battery life and inconspicuous to boot,"['excel', 'sound', 'batteri', 'life', 'inconspicu', 'boot']",excel sound batteri life and inconspicu to boot
great bluetooth,1,"['great', 'bluetooth']","['great', 'bluetooth']",great bluetooth,"['great', 'bluetooth']",great bluetooth
i highly recommend this case,1,"['highly', 'recommend', 'case']","['highly', 'recommend', 'case']",i highly recommend this case,"['highli', 'recommend', 'case']",i highli recommend thi case
worthwhile,1,['worthwhile'],['worthwhile'],worthwhile,['worthwhil'],worthwhil
after my phone got to be about a year old its been slowly breaking despite much care on my part,0,"['phone', 'got', 'year', 'old', 'slowly', 'breaking', 'despite', 'much', 'care', 'part']","['phone', 'got', 'year', 'old', 'slowly', 'breaking', 'despite', 'much', 'care', 'part']",after my phone got to be about a year old it been slowly breaking despite much care on my part,"['phone', 'got', 'year', 'old', 'slowli', 'break', 'despit', 'much', 'care', 'part']",after my phone got to be about a year old it been slowli break despit much care on my part
i am sorry i made this purchase,0,"['sorry', 'made', 'purchase']","['sorry', 'made', 'purchase']",i am sorry i made this purchase,"['sorri', 'made', 'purchas']",i am sorri i made thi purchas
i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear,0,"['bought', 'hoping', 'could', 'make', 'bluetooth', 'headset', 'fit', 'better', 'things', 'made', 'impossible', 'wear']","['bought', 'hoping', 'could', 'make', 'bluetooth', 'headset', 'fit', 'better', 'thing', 'made', 'impossible', 'wear']",i bought these hoping i could make my bluetooth headset fit better but these thing made it impossible to wear,"['bought', 'hope', 'could', 'make', 'bluetooth', 'headset', 'fit', 'better', 'thing', 'made', 'imposs', 'wear']",i bought these hope i could make my bluetooth headset fit better but these thing made it imposs to wear
treo and tmobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount,0,"['treo', 'tmobile', 'refused', 'replace', 'forced', 'buy', 'another', 'phone', 'without', 'kind', 'upgrade', 'discount']","['treo', 'tmobile', 'refused', 'replace', 'forced', 'buy', 'another', 'phone', 'without', 'kind', 'upgrade', 'discount']",treo and tmobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount,"['treo', 'tmobil', 'refus', 'replac', 'forc', 'buy', 'anoth', 'phone', 'without', 'kind', 'upgrad', 'discount']",treo and tmobil refus to replac it again and forc me to buy anoth phone without ani kind of upgrad discount
it was horrible,0,['horrible'],['horrible'],it wa horrible,['horribl'],it wa horribl
i dont think it would hold it too securly on your belt,0,"['dont', 'think', 'would', 'hold', 'securly', 'belt']","['dont', 'think', 'would', 'hold', 'securly', 'belt']",i dont think it would hold it too securly on your belt,"['dont', 'think', 'would', 'hold', 'securli', 'belt']",i dont think it would hold it too securli on your belt
